country,vp,vr,v
Afghanistan,0.3,0.5549088965878277,
Albania,0.5660000000000002,0.3849999999999998,0.4011089999999998
Algeria,0.5503924,0.10000000000000002,0.14233688560000002
American Samoa,0.3000000000000001,0.27549999999999997,
Andorra,0.10499999999999998,0.10000000000000002,
Angola,0.3,0.6999999999999998,0.6783999999999998
Antigua and Barbuda,0.3,0.21750000000000005,0.21834975000000006
Arab World,,,
Argentina,0.6999999999999998,0.3973657374999999,0.4124974506249999
Armenia,0.2999999999999999,0.2375,0.2424375
Aruba,0.6056850967092442,0.7000000000000239,
Australia,0.3,0.6385999999999998,0.6138821999999999
Austria,0.3,0.30699999999999994,0.30644699999999997
Azerbaijan,0.2999999999999999,0.2375,0.24275
"Bahamas, The",0.3,0.5734999999999999,
Bahrain,0.6639999999999997,0.63625,
Bangladesh,0.3,0.5141510725658424,0.4957340803251799
Barbados,0.3000000000000001,0.27149999999999996,
Belarus,0.3,0.3949999999999999,0.38587999999999995
Belgium,0.2999999999999999,0.31,0.30914
Belize,0.2999999999999999,0.31049999999999994,0.31016294999999994
Benin,0.5937396016581673,0.6999999999999998,0.6965996672530612
Bermuda,0.3,0.6265,
Bhutan,0.6743312322855101,0.6803077685724286,0.6799073406412052
Bolivia,0.3,0.48885421167860277,0.4814888974231372
Bosnia and Herzegovina,0.3,0.5420235935,0.5233877768005
Botswana,0.46640341595744467,0.6999999999999998,0.6934592956468082
Brazil,0.5026515399850988,0.6999999999999997,0.6928954554394633
British Virgin Islands,,,
Brunei Darussalam,0.3,0.24669204688134078,
Bulgaria,0.3,0.48533061380000003,0.47421077697200004
Burkina Faso,0.5937396016581677,0.6999999999999998,0.6911803869376278
Burundi,0.3,0.5424472127146907,0.5257183550373771
Cabo Verde,,,
Cambodia,0.3585642000000001,0.2885223624999999,
Cameroon,0.3000000000000001,0.38359202401964554,0.3798303829387615
Canada,0.2999999999999999,0.3016691140294646,0.30155895250351994
Caribbean small states,,,
Cayman Islands,0.3,0.49137582897183396,
Central African Republic,0.6748505897979834,0.6411079078465954,0.6422214163509912
Central Europe and the Baltics,,,
Chad,0.5937396016581673,0.6999999999999998,0.69479324048125
Channel Islands,,,
Chile,0.3,0.1184621,0.1271759192
China,0.5748723000000002,0.5662377137499999,0.5666867122349999
Colombia,0.3,0.27948,0.28028028
Comoros,0.3,0.5424472127146907,0.5315370881425295
"Congo, Dem. Rep.",0.3,0.6999999999999998,0.6779999999999998
"Congo, Rep.",0.3000000000000001,0.38359202401964554,0.3800811590108204
Costa Rica,0.3000000000000001,0.4210421673309507,0.41595839630305076
Cote d'Ivoire,0.5937396016581677,0.6999999999999998,0.6939431572945154
Croatia,0.3,0.5411874490999999,0.5235807653157
Cuba,0.3,0.14625,
Curacao,0.3000000000000001,0.3049999999999999,
Cyprus,0.46490076190476187,0.10000000000000002,0.1288271601904762
Czech Republic,0.45399999999999996,0.47499999999999987,0.4729629999999999
Denmark,0.2999999999999999,0.25,0.2547
Djibouti,0.2999999999999999,0.3725600342325805,0.36900459255518403
Dominica,0.2999999999999999,0.2945,0.294709
Dominican Republic,0.2999999999999999,0.3122493423042616,0.31164912453135274
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.6056850967092442,0.7000000000000239,0.6955671995453573
"Egypt, Arab Rep.",0.3,0.6499999999999998,0.6181499999999999
El Salvador,0.3,0.5399999999999999,0.52584
Equatorial Guinea,0.2999999999999999,0.4269905140632944,
Eritrea,0.3,0.6999999999999998,
Estonia,0.3,0.1595312411807868,0.1700663980922278
Ethiopia,0.2999999999999999,0.3725600342325805,0.36777107197323017
Euro area,,,
Europe & Central Asia,,,
Europe & Central Asia (IDA & IBRD countries),,,
Europe & Central Asia (excluding high income),,,
European Union,,,
Faroe Islands,,,
Fiji,0.3,0.27999999999999997,0.28152
Finland,0.2999999999999999,0.3075,0.306795
Fragile and conflict affected situations,,,
France,0.3,0.30699999999999994,0.30644699999999997
French Polynesia,0.3,0.5444999999999998,
Gabon,0.2999999999999999,0.4269905140632944,0.4196250642476233
"Gambia, The",0.5937396016581677,0.6999999999999998,0.6921367305227042
Georgia,0.3,0.26079795,0.26342448735
Germany,0.3000000000000001,0.24068881249999996,0.24531508512499997
Ghana,0.6895954398094909,0.6999999999999997,0.6994381537497122
Gibraltar,,,
Greece,0.3,0.17759721750000002,0.1848189816675
Greenland,0.3000000000000001,0.26306389999999996,
Grenada,0.2999999999999999,0.2729999999999999,
Guam,0.3,0.24669204688134078,
Guatemala,0.5828090559822138,0.10000000000000002,0.12172640751919964
Guinea,0.6999999999999997,0.6849999999999998,0.6861399999999999
Guinea-Bissau,0.6620000000000001,0.6849999999999998,0.6839649999999998
Guyana,0.2999999999999999,0.2955,0.2957025
Haiti,0.42263112886243775,0.11863609176425222,0.13535581880465242
Heavily indebted poor countries (HIPC),,,
High income,,,
Honduras,0.3,0.49137582897183396,0.48525180244473526
"Hong Kong SAR, China",0.32,0.10000000000000002,
Hungary,0.3,0.5351049999999999,0.51676681
Iceland,0.3000000000000001,0.25887037499999993,0.26285994862499995
India,0.3,0.6222167399999998,0.5954727505799999
Indonesia,0.3,0.19689564999999998,0.2043191632
"Iran, Islamic Rep.",0.3,0.3718316681733372,0.367306273078417
Iraq,0.3,0.6999999999999998,0.6647999999999998
Ireland,0.2999999999999999,0.2662639375,0.26892908643749996
Isle of Man,0.2999999999999999,0.2688332625,
Israel,0.3,0.6499999999999998,0.6335499999999998
Italy,0.3,0.30699999999999994,0.30656599999999995
Jamaica,0.3,0.49137582897183396,0.48123291003632673
Japan,0.3,0.20477700000000001,0.211823502
Jordan,0.3,0.6499999999999998,0.6212999999999997
Kazakhstan,0.3,0.1595312411807868,0.17357811706270812
Kenya,0.3,0.6999999999999998,0.6811999999999998
Kiribati,0.3,0.5444999999999998,0.5283629999999998
"Korea, Dem. People's Rep.",,,
"Korea, Rep.",0.3,0.20902799999999994,0.21566895599999994
Kosovo,,,
Kuwait,0.3,0.5921416590025417,
Kyrgyz Republic,0.3,0.2495544150850954,0.2545989735765859
Lao PDR,0.2999999999999999,0.3249999999999999,0.3230999999999999
Late-demographic dividend,,,
Latin America & Caribbean,,,
Latin America & Caribbean (excluding high income),,,
